Title,Certificate,Duration,Genre,Rating,Description, Stars,Votes,Year
0.03,TV-MA,49 min,"Action, Drama, Sci-Fi",7.3,"A post-apocalyptic thriller set in near-future Brazil, where a select few are allowed to join a privileged society after undergoing an intense and competitive process.","['Bianca Comparato, ', 'Vaneza Oliveira, ', 'Rodolfo Valente, ', 'Zezé Motta']",25700,2020
100 días para enamorarnos,TV-14,45 min,Comedy,6.7,Two couples in struggling relationships decide to give each other another chance: 100 days for them to fall back in love.,"['Ilse Salas, ', 'Mariana Treviño, ', 'Erick Elias, ', 'David Chocarro']",764,2021
12 Monkeys,TV-14,42 min,"Adventure, Drama, Mystery",7.7,Follows the journey of a time traveler from the post-apocalyptic future who appears in present day on a mission to locate and eradicate the source of a deadly plague that will nearly destroy the human race.,"['Aaron Stanford, ', 'Amanda Schull, ', 'Noah Bean, ', 'Barbara Sukowa']",44864,2018
13 Reasons Why,TV-MA,60 min,"Drama, Mystery, Thriller",7.5,"Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.","['Dylan Minnette, ', 'Katherine Langford, ', 'Christian Navarro, ', 'Alisha Boe']",289319,2020
2020 Golden Globe Awards,TV-14,134 min,Comedy,7.2,Comedian Ricky Gervais brutally roasts Hollywood and exposes their hypocrisy.,"['Louis J. Horvitz', '| ', '    Stars:', 'Ricky Gervais, ', 'Jennifer Aniston, ', 'Reese Witherspoon, ', 'Michael Douglas']",874,2020
3Below: Tales of Arcadia,TV-Y7-FV,24 min,"Animation, Action, Adventure",7.7,A pair of teenage royals and their bodyguard escape from their home planet and try to blend in on Earth.,"['Tatiana Maslany, ', 'Diego Luna, ', 'Nick Offerman, ', 'Frank Welker']",6264,2019
3rd Rock from the Sun,TV-PG,60 min,"Comedy, Family, Sci-Fi",7.8,"A group of aliens are sent to Earth, disguised as a human family, to experience and report life on the third planet from the sun.","['John Lithgow, ', 'Jane Curtin, ', 'Kristen Johnston, ', 'French Stewart']",52455,2001
42 Days of Darkness,TV-MA,45 min,"Crime, Drama, Mystery",6.5,"In a town in Chile, a woman leads a frantic search to find her missing sister amid a media storm and the police investigation. Inspired by a true case.","['Claudia Di Girólamo, ', 'Aline Küppenheim, ', 'Alejandro Goic, ', 'Juan Carlos Maldonado']",1200,2022
44 Cats,TV-Y7,13 min,"Animation, Adventure, Comedy",6,"44 Cats is a preschool comedy series that follows the daily adventures of four cats named Lampo, Milady, Pilou, and Meatball. All of them are part of a music band called 'The Buffycats'.","['Judith Cabral, ', 'Sarah Natochenny, ', 'Keira Johnson, ', 'Joy Salaretti']",290,2018
6 Days,R,94 min,"Action, Drama, History",6.2,"Based on the Iranian Embassy siege of 1980, this action-thriller dramatizes a six-day standoff between armed Iranian Arabs and SAS soldiers ready for a counterattack.","['Toa Fraser', '| ', '    Stars:', 'Jamie Bell, ', 'Mark Strong, ', 'Abbie Cornish, ', 'Martin Shaw']",22128,2017
7 Days Out,TV-PG,48 min,Documentary,6.8,A series that documents behind the scenes of some of the largest events in the world.,"['Karl Lagerfeld, ', 'Julie Webster, ', 'Matthew Haag, ', 'Emmy']",561,2018
7Seeds,TV-MA,25 min,"Animation, Action, Adventure",6.3,"In the immediate future, a giant meteorite has collided with earth. All living organisms, including mankind, have been wiped off the face of the planet. The government, who had foreseen ...                See full summary »","['Alejandro Saab, ', 'Jad Saxton, ', 'Scott Gibbs, ', 'Amber Lee Connors']",1459,2020
86,TV-14,24 min,"Animation, Action, Drama",8.2,"The Republic of San Magnolia is at war with its neighboring country, the Empire of Giad. Both sides use unmanned drones to conduct a ""war without casualties"". The story follows Lena as she commands a squad of drones called the 86.","['Maureen Price, ', 'Shoya Chiba, ', 'Ikumi Hasegawa, ', 'Saori Hayami']",4465,2022
A Certain Magical Index,TV-14,23 min,"Animation, Action, Comedy",6.8,Index is still a fugitive and many powerful Magical organizations and individuals want to take her to use the books in her memory eliminating her in the process. War between those ...                See full summary »,"['Monica Rial, ', 'Micah Solusod, ', 'Alexis Tipton, ', 'Christopher Sabat']",1982,2019
A Certain Scientific Accelerator,TV-14,24 min,"Animation, Action, Comedy",6.9,"Accelerator is considered the most powerful psychic in Academy City and one of a few able to shift to the level 6. He, however, now lives a peaceful life and tries to recover from the past ...                See full summary »","['Amber Lee Connors, ', 'Brittney Karbowski, ', 'Austin Tindle, ', 'Aoi Koga']",451,2019
A Cinderella Story: Christmas Wish,PG,85 min,"Comedy, Family, Fantasy",5.2,"Despite her vain stepmother and mean stepsisters, an aspiring singer works as an elf at a Christmas tree lot and finds her own holiday miracle.","['Michelle Johnston', '| ', '    Stars:', 'Laura Marano, ', 'Gregg Sulkin, ', 'Isabella Gomez, ', 'Johannah Newmarch']",6511,2019
"A Decade of Decadence, Pt. 2: Legacy of Dreams",PG-13,65 min,Documentary,8.1,"A inside look at the making of, A Tiger in the Dark: The Decadence Saga: The Legacy Edition DVD. Featuring discussions with the cast, early animation tests, and never before seen artwork by Adam Haney.","['Drew Glick', '| ', '    Stars:', 'Gordon Auld, ', 'Howie Boulware Jr., ', 'Tod Boulware, ', 'Patrícia Faolli']",51,2013
A Go! Go! Cory Carson Christmas,TV-Y,21 min,"Animation, Short, Family",6.1,"When a familiar stranger shows up with no memory, Cory saves Christmas for everyone by helping him remember the magic of Christmas.","['Stanley Moore, ', 'Alex Woo', '| ', '    Stars:', 'Alan C. Lim, ', 'Taron C. Hensley, ', 'Maisie Benson, ', 'Kerry Gudjohnsen']",51,2020
A Model Family,TV-MA,45 min,"Crime, Drama, Thriller",6.6,"After unwittingly stealing money from a cartel, a cash-strapped professor finds the only way to save his broken family is by working as a drug courier.","['Woo Jung, ', 'Hee-soon Park, ', 'Yoon Jin Seo, ', 'Park Ji-Yeon']",818,2022
A New York Christmas Wedding,TV-MA,88 min,"Drama, Romance",5.3,"As her Christmas Eve wedding draws near, Jennifer is visited by an angel and shown what could have been if she hadn't denied her true feelings for her childhood best friend.","['Otoja Abit', '| ', '    Stars:', 'Chris Noth, ', 'Nia Fairweather, ', 'Chris Trousdale, ', 'Otoja Abit']",1135,2020
A Series of Unfortunate Events,TV-PG,50 min,"Adventure, Comedy, Drama",7.8,"After the loss of their parents in a mysterious fire, the three Baudelaire children face trials and tribulations attempting to uncover dark family secrets.","['Neil Patrick Harris, ', 'Patrick Warburton, ', 'Malina Weissman, ', 'Louis Hynes']",60640,2019
A StoryBots Christmas,TV-Y,24 min,"Short, Adventure, Comedy",5.8,"When Bo mistakenly thinks that her friends don't like her gifts, she heads to the North Pole to ask Santa for help making better presents. She learns along the way that Christmas is about far more than just the toys.","['Jeff Gill, ', 'Evan Spiridellis', '| ', '    Stars:', 'Judy Greer, ', 'Erin Fitzgerald, ', 'Fred Tatasciore, ', 'Jeff Gill']",162,2017
A Tale Dark & Grimm,TV-Y7,26 min,"Animation, Action, Adventure",7.3,Follow Hansel and Gretel as they walk out of their own story into a winding and wickedly witty tale full of strange -and scary- surprises.,"['Raini Rodriguez, ', 'Andre Robinson, ', 'Scott Adsit, ', 'Ron Funches']",1421,2021
A Tiger in the Dark: The Decadence Saga,R,128 min,"Drama, Fantasy, Sci-Fi",7.7,They have only one purpose...to find you.,"['Drew Glick', '| ', '    Stars:', 'Tod Boulware, ', 'Chen Drachman, ', 'Patrícia Faolli, ', 'Drew Glick']",50,2014
A Very Murray Christmas,TV-MA,56 min,"Comedy, Music, Musical",5.5,Bill Murray worries no one will show up to his TV show due to a terrible snowstorm in New York City.,"['Sofia Coppola', '| ', '    Stars:', 'Bill Murray, ', 'Paul Shaffer, ', 'Michael Cera, ', 'George Clooney']",15499,2015
A Wish For Christmas,TV-G,84 min,"Drama, Family, Fantasy",5.9,"Sara Thomas is the type of woman who prefers to sit on the sidelines at work, but when her big idea for a Christmas initiative is stolen, she makes a wish to Santa that she'll finally have ...                See full summary »","['Christie Will Wolf', '| ', '    Stars:', 'Lacey Chabert, ', 'Paul Greene, ', 'Andrea Brooks, ', 'Colleen Wheeler']",4787,2016
A.N.T. Farm,TV-G,30 min,"Comedy, Drama, Family",5,A musical prodigy gets into a gifted program called Advanced Natural Talents at the local high school.,"['China Anne McClain, ', 'Sierra McCormick, ', 'Jake Short, ', 'Stefanie Scott']",7233,2014
Ófærð,TV-14,60 min,"Crime, Drama, Mystery",8,"In a remote town in Iceland, Police desperately try to solve a crime as a powerful storm descends upon the town.","['Ólafur Darri Ólafsson, ', 'Ilmur Kristjánsdóttir, ', 'Björn Hlynur Haraldsson, ', 'Guðjón Pedersen']",21641,2015
"Abby Hatcher, Fuzzly Catcher",TV-Y,23 min,"Animation, Adventure, Comedy",5.4,Seven-year-old Abby Hatcher and her Fuzzly friend Bozzly go on adventures to fix the Fuzzly's problems at her hotel.,"['Macy Drouin, ', 'Wyatt White, ', 'Christian Dal Dosso, ', 'Leo Orgil']",187,2022
Abla Fahita: Drama Queen,TV-14,25 min,"Comedy, Crime, Drama",6.5,"Falsely incriminated, Abla Fahita is separated from her kids, but the self-indulgent diva will stop at nothing to redeem herself and reunite her family.","['Caro, ', 'Abla Fahita, ', 'Nick Shakoour, ', 'Nadia Hamzeh']",448,2021
Abstract: The Art of Design,TV-14,45 min,Documentary,8.3,"A look beyond blueprints and computers into the art and science of design, showcasing great designers from every discipline whose work shapes our world.","['Platon, ', 'Ian Spalter, ', 'Cas Holman, ', 'Jay Leno']",5492,2017
Accidentally in Love,TV-14,30 min,"Drama, Music, Musical",7.4,"A popular singer decides to go back to school, becoming the center of attention there, and meets an ordinary female student with a dual personality.","['Junchen Guo, ', 'Yi Ning Sun, ', 'Yiqin Zhao']",1177,2018
Action Pack,TV-Y,29 min,"Animation, Action, Adventure",6.5,"Follows a group of kids who use their super powers to implement lessons and bring out the good in everything, even in villains.","['Sydney Thomas, ', 'Oscar Daniel Reyez, ', 'Giancarlo Sabogal, ', 'Julieta Cortes']",90,2022
"Ada Twist, Scientist",TV-PG,12 min,"Animation, Adventure, Comedy",6.4,"Ada Twist, a young scientist who will explore helping people through scientific discovery, collaboration and friendship.","['Nicholas Crovetti, ', 'Amanda Christine, ', 'Candace Kozak, ', 'Taye Diggs']",176,2021
Adam Sandler: 100% Fresh,TV-MA,73 min,"Comedy, Music",7.5,"Adam Sandler takes his comical musical musings back out on the road, from comedy clubs to concert halls to one very unsuspecting subway station.","['Steven Brill, ', 'Nicholaus Goossen', '| ', '    Stars:', 'Adam Sandler, ', 'Rob Schneider, ', 'Dan Bulla']",5309,2018
Adel Karam: Live from Beirut,TV-MA,59 min,Comedy,5.3,"From Casino du Liban, Lebanese actor and comedian Adel Karam delivers earthy punchlines on kissing norms, colonoscopies and a memorable trip to Africa.","['Mohamed Khalifa', '| ', '    Star:', 'Adel Karam']",151,2018
Aditi Mittal: Things They Wouldn't Let Me Say,TV-MA,62 min,Comedy,4.3,"Trailblazing comic Aditi Mittal mixes topical stand-up with frank talk about being single, wearing thongs and the awkwardness of Indian movie ratings.","['Fazila Allana', '| ', '    Star:', 'Aditi Mittal']",335,2017
Adventure Time,TV-PG,11 min,"Animation, Action, Adventure",8.6,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future.","['John DiMaggio, ', 'Jeremy Shada, ', 'Tom Kenny, ', 'Hynden Walch']",93949,2018
Afonso Padilha: Classless,TV-MA,63 min,Comedy,6.9,Brazilian comedian Afonso Padilha dives into his humble beginnings and digs out hilarious stories about his childhood in this very personal set.,"['Rudge Campos, ', 'Junior Carelli', '| ', '    Star:', 'Afonso Padilha']",208,2020
After Life,TV-MA,30 min,"Comedy, Drama",8.4,"After Tony's wife dies, his nice-guy persona is altered into an impulsive, devil-may-care attitude that takes his old world by storm.","['Ricky Gervais, ', 'Tom Basden, ', 'Tony Way, ', 'Diane Morgan']",133432,2022
After Trek,TV-PG,48 min,Talk-Show,4.9,"Review of each episode of Star Trek Discovery with discussion about the show with the creators, producers and cast. Showcases insight into the back story and the main characters as well as revealing Easter eggs.","['Matt Mira, ', 'Sonequa Martin-Green, ', 'Aaron Harberts, ', 'Doug Jones']",260,2018
Aftermath,TV-MA,114 min,"Drama, Horror, Mystery",5.3,"A young couple struggling to stay together, when they are offered an amazing deal on a home with a questionable past that would normally be beyond their means. In a final attempt to start fresh as a couple they take the deal.","['Peter Winther', '| ', '    Stars:', 'Ashley Greene, ', 'Shawn Ashmore, ', 'Jason Liles, ', 'Britt Baron']",16046,2021
Age of Samurai: Battle for Japan,TV-MA,44 min,"Documentary, Action, Adventure",7.4,An exploration of the warring kingdoms of feudal Japan when several powerful warlords fought to become absolute ruler.,"['Hiro Kanagawa, ', 'Hayate Masao, ', 'Stephen Turnbull, ', 'Akiem Ra-Zhì']",4209,2021
Age of Youth,TV-14,60 min,"Comedy, Drama, Romance",8.3,"5 college students, from different walks of life end up living together in a fictional house share called Belle Epoque","['Yeri Han, ', 'Seung-Yeon Han, ', 'Park Eun-bin, ', 'Hwa-young Ryu']",2274,2017
Agents of S.H.I.E.L.D.,TV-PG,45 min,"Action, Adventure, Drama",7.5,"The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division.","['Clark Gregg, ', 'Ming-Na Wen, ', 'Brett Dalton, ', 'Iain De Caestecker']",216461,2020
Aggretsuko,TV-14,15 min,"Animation, Comedy, Drama",8,"Frustrated with her thankless office job, the 25-year-old red panda copes with her daily struggles by belting out heavy metal karaoke after work.","['Ben Diskin, ', 'Erica Mendez, ', 'G.K. Bowes, ', 'Tara Platt']",6294,2018
Agustín Aristarán: Soy Rada,TV-MA,60 min,Comedy,6.3,"The Argentine comedian Agustín ""Radagast"" Aristarán combines magic and music and in a performance full of energy.","['Mariano Baez', '| ', '    Star:', 'Mago Radagast']",127,2018
Ajin,TV-MA,24 min,"Animation, Action, Adventure",7.6,"A high school student discovers he is an Ajin, a demi-human being. He ends up a fugitive on the run because of his powers.","['Mamoru Miyano, ', 'Todd Haberkorn, ', 'Johnny Yong Bosch, ', 'Barbara Goodson']",6345,2016
Akashic Records of Bastard Magic Instructor,TV-14,24 min,"Animation, Action, Comedy",7,The new teacher at a magical academy doesn't seem to care about anything until a threat to the school shows a whole new side of him.,"['Sôma Saitô, ', 'Akane Fujita, ', 'Yume Miyamoto, ', 'Ari Ozawa']",2221,2017
Alchemy of Souls,Approved,80 min,"Action, Drama, Fantasy",8.7,"The fate of two people becomes twisted due to ""hwanhonsool"" (the soul of the dead return to the living).","['Jae-Wook Lee, ', 'Jung So-Min, ', 'Min-Hyun Hwang, ', 'Joon-Sang Yoo']",3769,2022
Alejandro Riaño: Especial de stand-up,TV-MA,60 min,Comedy,4.9,"Colombian comedian Alejandro Riaño discusses the perks of dating a she-wolf, styles of dancing, the quirks of Bogotá men and soccer game announcers.","['Raúl Campos, ', 'Jan Suter', '| ', '    Star:', 'Alejandro Riaño']",71,2018
Alessandro Cattelan: One Simple Question,TV-MA,30 min,Reality-TV,6.5,What is the formula for happiness? Alessandro Cattelan searches for the answer through interviews and unique experiences in this multigenre docu-show.,['Alessandro Cattelan'],218,2022
Alex Fernández: The Best Comedian in the World,TV-MA,51 min,Comedy,6.2,Add a Plot,"['Alex Díaz', '| ', '    Star:', 'Alex Fernández']",141,2020
Alexa & Katie,TV-Y7,25 min,"Comedy, Drama",7.4,Lifelong best friends Alexa Mendoza and Katie Cooper are anticipating the start of their freshman year of high school. They confront a crisis that leaves them feeling like outsiders at a time when fitting in is what seems to matter most.,"['Paris Berelc, ', 'Isabel May, ', 'Jolie Jenkins, ', 'Emery Kelly']",5036,2020
Ali Wong: Baby Cobra,TV-MA,60 min,Comedy,7.5,"Ali Wong's stand up special delves into her sexual adventures, hoarding, the rocky road to pregnancy, and why feminism is terrible.","['Jay Karas', '| ', '    Star:', 'Ali Wong']",7129,2016
Ali Wong: Don Wong,TV-MA,59 min,Comedy,6.6,"Ali Wong discusses her deepest fantasies, the challenges of monogamy, and her feelings about single people.","['Nahnatchka Khan', '| ', '    Star:', 'Ali Wong']",2517,2022
